1,2,3,4,5,6,x,y,z,TPC_Rx,TPC_Ry,TPC_Rz,x-real,y-real,z-real
-36.244,-32.808,-28.166,-101.167,-98.659,-131.876,-584.575,307.907,726.981,-0.01,-2.024,-1.045,-584.215,309.68,727.086
-50.265,-49.104,-42.963,-98.992,-89.018,-91.148,-293.969,180.19,910.393,-0.573,-1.295,-0.734,-293.107,181.246,911.362
-25.836,-48.641,-28.911,-97.271,-139.974,-57.986,-403.96,144.007,879.986,-1.311,-1.028,-0.636,-403.157,145.996,880.118
-46.718,-48.043,10.983,-97.116,-81.542,-41.49,-583.354,441.069,648.688,-1.697,-1.649,0.193,-583.148,443.68,648.546
-41.88,-25.648,37.977,-122.984,-85.297,-115.242,-735.772,502.229,146.096,-0.381,-2.762,-0.182,-734.87,505.401,144.472
-27.817,-25.635,26.936,-92.179,-96.956,-102.475,-816.708,317.239,183.779,0.413,3.083,0.181,-816.565,318.947,181.501
0.618,-22.078,-16.072,-99.898,-108.505,-11.901,-822.043,-92.692,508.957,-1.552,-1.674,0.36,-821.39,-91.1113,507.776
24.074,-33.831,-41.614,-109.042,-112.686,-68.239,-442.691,-282.85,805.129,-0.288,-1.48,0.351,-441.743,-280.705,805.78
1.647,-40.756,-32.066,-96.703,-137.301,-126.644,-507.915,-63.603,823.633,-0.025,-1.838,-1.152,-507.356,-62.1346,824.056
-8.502,-31.412,5.715,-98.95,-125.562,-22.106,-831.482,61.411,479.096,-1.608,-1.675,-0.283,-831.152,63.3795,477.46
-19.282,-29.739,5.211,-91.115,-128.436,-128.576,-810.847,221.229,445.274,0.258,-2.838,-1.176,-810.955,222.853,443.205
16.768,-35.346,-23.88,-109.073,-43.708,-167.421,-546.289,-341.374,752.709,1.567,-0.686,-0.066,-544.363,-339.939,753.88
-22.571,-30.728,-11.875,-93.653,-97.391,-124.701,-756.382,206.779,583.28,0.192,-2.409,-0.629,-756.571,208.524,582.549
-16.541,-45.406,-5.593,-106.118,-95.134,-150.741,-658.981,88.764,751.411,0.733,-1.965,-0.94,-658.866,90.2213,751.992
3.347,-46.363,28.518,-102.306,-136.839,-27.083,-771.861,-95.358,515.457,-1.333,-1.81,-0.477,-771.581,-93.1979,514.386
-26.273,-20.296,-6.356,-109.987,-128.285,-38.767,-797.661,328.066,436.672,-1.606,-1.487,-0.528,-796.704,330.211,434.674
-33.626,-30.848,-29.265,-102.553,-125.072,-107.528,-577.693,309.402,716.877,-0.715,-1.857,-1.166,-577.231,311.431,716.341
8.057,-27.35,29.797,-101.61,-135.842,-164.271,-855.45,-172.897,226.015,-1.673,2.045,1.048,-854.116,-171.474,223.651
-29.534,-42.247,52.749,-121.9,-138.408,-90.025,-726.778,355.691,287.031,-0.911,-2.564,-1.305,-724.865,359.026,285.012
-13.329,-34.745,-4.137,-105.404,-119.432,-28.507,-762.739,109.345,612.147,-1.489,-1.488,-0.06,-763.337,109.03,611.595
-25.816,-49.06,4.944,-96.189,-113.439,-50.371,-644.035,225.735,707.288,-1.371,-1.741,-0.327,-644.062,227.894,706.978
26.495,-35.537,54.743,-132.622,-49.907,-160.307,-667.5,-515.51,187.26,1.945,-1.479,0.64,-667.813,-514.306,187.266
13.547,-33.647,18.174,-102.708,-104.718,-78.48,-807.463,-286.469,403.55,-0.036,-2.603,-0.182,-807.38,-285.246,402.677
-43.029,-41.476,-46.026,-97.952,-89.534,-37.012,-373.549,198.029,863.885,-1.092,-0.994,0.149,-372.486,199.39,864.388
-4.65,-48.102,-17.364,-99.923,-80.447,-140.843,-556.798,-78.567,832.811,0.838,-1.653,-0.527,-556.097,-77.5912,833.717
13.172,-48.032,-38.599,-106.221,-112.488,-74.271,-332.855,-157.926,905.253,-0.358,-1.317,0.162,-331.359,-156.147,906.272
-54.991,-45.378,21.102,-97.89,-89.59,-169.457,-537.88,574.648,533.265,0.604,-2.755,-0.745,-537.997,577.536,532.825
11.079,-26.69,58.367,-133.856,-93.879,-96.392,-787.248,-261.169,14.032,0.435,-2.892,-0.082,-787.016,-258.882,12.7195
8.107,-46.553,59.972,-118.144,-131.66,-29.198,-764.654,-165.189,271.241,-1.2,-2.155,-0.589,-763.861,-162.423,270.038
13.246,-40.597,28.676,-105.468,-106.917,-85.948,-784.243,-273.34,420.117,0.118,-2.611,-0.284,-784.303,-271.864,419.393
-37.333,-20.019,42.339,-123.935,-111.606,-96.896,-740.105,463.634,29.94,-0.85,-2.906,-0.647,-737.991,466.714,27.5523
-20.678,-46.893,7.293,-100.358,-92.565,-120.904,-707.292,153.219,668.526,0.186,-2.315,-0.515,-707.558,155.295,668.334
8.935,-49.725,-60.033,-105.262,-97.161,-141.232,-137.399,-121.812,906.311,0.391,-0.908,-0.737,-134.958,-120.435,907.207
-39.075,-49.463,-53.3,-93.043,-114.056,-118.133,-231,89.958,905.568,-0.516,-1.335,-1.253,-230.207,90.9237,906.481
-7.1,-24.261,-36.914,-99.61,-139.733,-132.127,-658.248,34.952,678.732,-0.023,-2.031,-1.382,-657.512,36.7689,678.22
23.582,-25.126,-11.852,-102.044,-104.626,-172.425,-715.563,-409.625,524.373,1.828,-1.55,-0.801,-714.542,-409.292,523.915
-39.045,-40.242,-38.019,-99.533,-118.508,-60.269,-416.857,247.753,838.901,-1.211,-1.089,-0.522,-415.86,250.099,838.793
-54.085,-41.755,-43.691,-96.579,-84.946,-156.664,-344.738,276.92,860.007,0.277,-1.749,-1.554,-344.48,277.813,860.7
13.445,-32.697,-16.272,-103.257,-80.354,-83.959,-681.632,-290.107,660.093,0.241,-2.055,0.386,-681.283,-288.579,660.523
-39.686,-37.877,-4.183,-100.361,-87.405,-69.246,-648.951,390.701,637.252,-1.098,-1.939,-0.127,-648.784,393.088,636.867
-58.544,-22.485,-60.888,-107.341,-84.467,-6.934,-361.26,365.76,748.996,-1.29,-0.537,0.426,-360.12,366.699,748.876
5.311,-38.968,-21.578,-90.408,-139.751,-110.028,-608.354,-103.572,754.276,-0.089,-2.038,-1.051,-608.25,-102.235,754.315
